,clean_text,sentiment,clean_word_count,clean_char_count,clean_avg_word_length
45,girl hair salon asked shall trim eyebrows old feel,neutral,9,50,5.555555555555555
46,egh blah boooooooooooo dunno wanna go work hangovers suckkkkkk im drunk mess,negative,12,76,6.333333333333333
47,visiting friendster facebook,neutral,3,28,9.333333333333334
48,donbt like peel prawns also dont like going shopping running money crawling round car looking,negative,15,93,6.2
49,case got new one last week im thrilled mine,negative,9,43,4.777777777777778
50,check  connect tweeple hate twitter,neutral,6,54,9.0
51,also bored school third freelesson freistunde,neutral,6,45,7.5
52,hm us guess,neutral,3,11,3.6666666666666665
53,u dissappointed past days,negative,4,25,6.25
54,romance zero funny,positive,3,18,6.0
55,id rather early runbut morning runner,neutral,6,37,6.166666666666667
56,bah coworker ran work late bag smacked knee really hurts,negative,10,56,5.6
57,back later ,neutral,3,29,9.666666666666666
58,aw torn ace hearts hunchback,negative,5,28,5.6
59,fun speaking of,neutral,3,15,5.0
60,lost friends im alone sleepyi wanna go home,negative,8,43,5.375
61,haha yes,neutral,2,8,4.0
62,give easily,negative,2,11,5.5
63,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive,15,80,5.333333333333333
64,mannnn _ got iphone im jealous ,negative,7,45,6.428571428571429
65,photoshoot,neutral,1,10,10.0
66,hes awesome worked before hes good friend,positive,7,41,5.857142857142857
67,yay playing show tonight boo its gonna soggy im work right playing,neutral,12,66,5.5
68,chilliin,positive,1,8,8.0
69,know agent let know,neutral,4,19,4.75
70,still smell smoke kitchenfire,neutral,4,29,7.25
71,celticslakers rematch sounds better dont think lol,positive,7,50,7.142857142857143
72,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,neutral,14,76,5.428571428571429
73,you ride one catch one summer til pop open one,neutral,10,46,4.6
74,good gorjuz yea kno asked yesterday tha hospital talked u said,neutral,11,62,5.636363636363637
75,ok im now popped say hi check things ill probably head guttah later tonight,neutral,14,75,5.357142857142857
76,wow really missin family today baddd,negative,6,36,6.0
77,sources say,neutral,2,11,5.5
78,sooo tired,negative,2,10,5.0
79,hey change twitter account didnt even tell me,neutral,8,45,5.625
80,thank yyyyyyyyyoooooooooouuuuu,positive,2,30,15.0
81,lucky kidi wanna see loserville pity im oz,positive,8,42,5.25
82,fell asleep waiting ride,neutral,4,24,6.0
83,sick flu like thing,negative,4,19,4.75
84,still reply simfinger problem irape parody video get response sorry guys,negative,11,72,6.545454545454546
85,happy star wars day everyone enjoy holiday uk,positive,8,45,5.625
86,miles im essex give plenty warning arrive time get least one free beers,neutral,13,71,5.461538461538462
87,snoring annoying n keeps sleeping like right now lol honestly wud miss eva left love him,neutral,16,88,5.5
88,miss bby wish going tomorrow make good,negative,7,38,5.428571428571429
89,well im working isnt quite ready post publicly still beta testing cool new script coded,positive,15,87,5.8
90,sweeeeet san fran awesome love,positive,5,30,6.0
91,_mounce yes lasts way past bedtime,neutral,6,34,5.666666666666667
92,hi just joined twitter,neutral,4,22,5.5
93,waiting sleeping pills kick in gonna tired work tomorrow,negative,9,56,6.222222222222222
94,eating ice cream getting ready graduation,neutral,6,41,6.833333333333333
95,happy mothers day mums,positive,4,22,5.5
96,caseys gone why so piddled little carpet shes prolly freaked cause its new get back,negative,15,83,5.533333333333333
97,hemp cloth marvelous unfortunately,negative,4,34,8.5
98,gonna read story bout adam lambert online bed nighty night,neutral,10,58,5.8
99,saw none 3d baddies best,positive,5,24,4.8
100,4am im beach pretty,positive,4,19,4.75
101,certainly cheers than huh,neutral,4,25,6.25
102,1 week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,negative,15,112,7.466666666666667
103,realy wanted go cause nice everybodys busy,negative,7,42,6.0
104,awesome im ocean beach if know is way yourbiggestfan im real big fan yours,positive,14,74,5.285714285714286
105,least get watch time lets go pens,neutral,7,33,4.714285714285714
106,cool wear black time go,neutral,5,23,4.6
107,haha know work blip apart obvious thanks reblipping song nice day,positive,11,65,5.909090909090909
108,safe trip joshy pooyoull knock dead speech,positive,7,42,6.0
109,woof wish allowed go,positive,4,20,5.0
110,u friendster add me email adress add loco_crime_1stcom add leave comment,neutral,11,72,6.545454545454546
111,tickets,neutral,1,7,7.0
112,thank you afrin nasal spray also got giant teacup tonight,positive,10,57,5.7
113,acsm its unfathomable think one one kept comfort bedrooms yes,neutral,10,61,6.1
114,aww love daddy works 7 days week almost day still tries go sf us,positive,14,64,4.571428571428571
115,many tests todayyy dont feel confident anyy,negative,7,43,6.142857142857143
116,graduation done im little sad anyone want hang out,negative,9,50,5.555555555555555
117,hahaa awesomee,positive,2,14,7.0
118,holy smokes star trek freaking awesomeeeee,positive,6,42,7.0
119,hate fallout 3 keeps making jump im also low health money ammo food dont worry ill get it,neutral,18,89,4.944444444444445
120,it itunes lost songs,neutral,4,20,5.0
121,whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,neutral,14,88,6.285714285714286
122,looking forward next week maths geography english french exams totalling 7 hours,negative,12,80,6.666666666666667
123,poor get outside sleep garden sun good dont forget suncream,negative,10,59,5.9
124,well,negative,1,4,4.0
125,prob hun,positive,2,8,4.0
126,dads watching mtv going sims2 minutee,neutral,6,37,6.166666666666667
127,absolutely,neutral,1,10,10.0
128,whats matter chickadee,neutral,3,22,7.333333333333333
129,hey mia totally adore music cd out,positive,7,34,4.857142857142857
130,shopping cleaning bmfing webcam chatting nephews nothing spesh good bank holiday monday nonetheless,positive,13,99,7.615384615384615
131,o need ask something lmao love,positive,6,30,5.0
132,splinters look painfulbut heroic saving mr pickle,negative,7,49,7.0
133,sad,negative,1,3,3.0
134,nice see tweeting its sunday 10th may were celebrating mothers day today nice yer mom,positive,15,85,5.666666666666667
135,decided 2 trans frm relaxed 2 natural hair wish whole head looked like roots age instant gratification,positive,17,102,6.0
136,namaskar namaste r same marathi people say namaskar marathi word naaaah,neutral,11,71,6.454545454545454
137,congrats cuss like matter minutes didnt know reward it,neutral,9,54,6.0
138,humous doritos oh yes,neutral,4,21,5.25
139,missed awesome weather movie,negative,4,28,7.0
140,today going normal day hope group pilots large airline come last night much drink,neutral,14,81,5.785714285714286
141,kids terrible good evans id call childline,negative,7,42,6.0
142,unfortunatley aerlingus longer fly copenhagen were fly ryanair billund drive copenhagen one days,negative,13,96,7.384615384615385
143,whats sad actually google term sucks tho,negative,7,40,5.714285714285714
144,hate fighting,negative,2,13,6.5
145,watched too didnt want win put good fightlol,neutral,8,44,5.5
146,carwarmed sprite tastes like sore throat,negative,6,40,6.666666666666667
147,came 11th cross country beat dumbo,neutral,6,34,5.666666666666667
148,candle wax enjoyable,positive,3,20,6.666666666666667
149,shes unassuming unpretentious shes just as suppose thats shes endearingbecause relate,positive,11,85,7.7272727272727275
150,tomorrow valerias lunch going get hair done im arraving late got cousins babtizm whatever spell,neutral,15,95,6.333333333333333
151,goooooddd morning tweets week three workout mention got new glasses yesterday,positive,11,77,7.0
152,too hate computer much,negative,4,22,5.5
153,fine going big walk today 20 miles,positive,7,34,4.857142857142857
154,want red cruisers dont like ones lmfao,negative,7,38,5.428571428571429
155,mmmmmmmm morning,neutral,2,16,8.0
156,neither,neutral,1,7,7.0
157,10 hours work do sunday boo find time two hour lunchbreak though yeah,neutral,13,69,5.3076923076923075
158,bugger forgot still washing machine,negative,5,35,7.0
159,_laurie sending love blessings healing thoughts family peace,positive,8,60,7.5
160,back hurtsreally bad,negative,3,20,6.666666666666667
161,ah yes know feeling,neutral,4,19,4.75
162,night cookers dad,neutral,3,17,5.666666666666667
163,modem offline week now god bless 3g network tim left again may schedule brutal,negative,14,78,5.571428571428571
164,nope coquitlam,neutral,2,14,7.0
165,parent teacher thing yesterday boring going skl saturday lol,negative,9,60,6.666666666666667
166,lichfield tweetup sounds like fun hope see everyone else there,positive,10,62,6.2
167,big booming thunder storm almost here maybe go home early ah probably not,neutral,13,73,5.615384615384615
168,bevvies 2day twngreat day off,positive,5,29,5.8
169,first night myers wout lydia im actually excited summer,positive,9,55,6.111111111111111
170,good morning,positive,2,12,6.0
171,best show ever,positive,3,14,4.666666666666667
172,url previous post to timer job  id removed space messed url es,negative,13,76,5.846153846153846
173,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,neutral,13,83,6.384615384615385
174,want know auditions mander text orreply please,neutral,7,46,6.571428571428571
175,even nooooo secret namerebecca please,negative,5,37,7.4
176,miss neice cant wait see bad n grown lol,negative,9,40,4.444444444444445
177,need get computer fixed,neutral,4,23,5.75
178,really hopes cars illness terminal,negative,5,34,6.8
179,cool people want find following today english guess english dont tweet,neutral,11,70,6.363636363636363
180,siri woulda put honeybut dont,neutral,5,29,5.8
181,watched xmen origins wolverine totally loved it haha,positive,8,52,6.5
182,voted u personal myspace keep talking fakes 3 you u helped thru hrdest time life x,positive,16,82,5.125
183,im sad missed guys last night,negative,6,29,4.833333333333333
184,finally got call marriage counseling 3 days late,neutral,8,48,6.0
185,ok,neutral,1,2,2.0
186,_420 baby,neutral,2,9,4.5
187,today last day high school ended going home sick stupid dead rats,negative,12,65,5.416666666666667
188,were impromptu pool party except dont know swim cant get,neutral,10,56,5.6
189,lost tooth 2day whilst eating gumoww,negative,6,36,6.0
190,happy 1 year 3,positive,4,14,3.5
191,oh hella forgot say official good morning like hear it go goooooooooooood morrrrrrrrning twitterville lol,positive,15,105,7.0
192,phew make note case anyone else runs issueãââ½,neutral,8,46,5.75
193,vote every day,negative,3,14,4.666666666666667
194,im starving diet killing cant eat 8pm,negative,7,37,5.285714285714286
195,talk,neutral,1,4,4.0
196,im soo boredim deffo missing music channels,negative,7,43,6.142857142857143
197,nite nite bday girl fun concert,positive,6,31,5.166666666666667
198,nicotine replacement patch 4 hours far good sleep 4 hours getting bit twitchy,neutral,13,77,5.923076923076923
199,_sanderson whats twatter lately either cant get replies dont turn up,neutral,11,68,6.181818181818182
200,sleeping lost voice couple day ago,negative,6,34,5.666666666666667
201, hate parked car gets hit,negative,6,44,7.333333333333333
202,ive heard fall im waiting too,neutral,6,29,4.833333333333333
203,nightmares huggles,neutral,2,18,9.0
204,creeper feel disappointed it cyberstalking skills internet privacy,negative,8,66,8.25
205,going bed late headache,negative,4,23,5.75
206,happy mothers day moms there,positive,5,28,5.6
207,grabbing coffee making mom breakfast,neutral,5,36,7.2
208,im thinking im going fun tonightand maybe changes coming,positive,9,56,6.222222222222222
209,thanks major chop,neutral,3,17,5.666666666666667
210,haha know cant handle fame thank you,positive,7,36,5.142857142857143
211,got updated ipod,neutral,3,16,5.333333333333333
212,yes sober hahaha tanghaling tapat dude haha wild dont kno plan plan go us,positive,14,77,5.5
213,never miss icarly son huge crush miranda,positive,7,40,5.714285714285714
214,saw james carville store today head really bald,neutral,8,47,5.875
215,yellow ,neutral,2,22,11.0
216,means youre going come back vancouver way hahah,neutral,8,47,5.875
217,feeling smooth like chrome,positive,4,26,6.5
218,ew traffic,negative,2,10,5.0
219,downloading songs trying sneak lil homework too main priority songs lol,neutral,11,71,6.454545454545454
220,_ra_ra_ alonei need coffee too,neutral,5,30,6.0
221,sounds like,neutral,2,11,5.5
222,bad day day realize mess youve put one happiest days life,neutral,11,57,5.181818181818182
223,walking class hate bikeespecially mine,negative,5,38,7.6
224,_nesmith,neutral,1,8,8.0
225,failed inspection know pass wooven woantitip bracket sold woven worse taxes,negative,11,75,6.818181818181818
226,jonas brothers live party its rocking hard love song,positive,9,52,5.777777777777778
227,happy mothers day mothers world,positive,5,31,6.2
228,35mins 1hr 20mins google wave demo looks lot fun would love test though ,positive,14,86,6.142857142857143
229,sleepy tabz heading bed fun night listened next episode jossd,positive,10,61,6.1
230,exception short dude larenz fineass tate yum,neutral,7,44,6.285714285714286
231,screw reviews thought wolverine awesome enough dominic monaghan liking,positive,9,70,7.777777777777778
232,followed us recently please dont offended havent followed back hit limit hopefully free soon,positive,14,92,6.571428571428571
233,yes work 6 3,neutral,4,12,3.0
234,hmmm maybe thats meant eluded something brand new know media,neutral,10,60,6.0
235,done spa meeting vic late lunch,neutral,6,31,5.166666666666667
236,happy monday going tavares today hope everyone blessed day,positive,9,58,6.444444444444445
237,always wanted go oz,neutral,4,19,4.75
238,thx,neutral,1,3,3.0
239, cool luv,positive,3,28,9.333333333333334
240,thats need thereto represent blackberries,positive,5,41,8.2
241,okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral,14,80,5.714285714285714
242,could ever actually allowed stay,neutral,5,32,6.4
243,let know turns out,neutral,4,18,4.5
244,sass detect long isnt back sass haha,neutral,7,36,5.142857142857143
245,yeah thinking ahaha,positive,3,19,6.333333333333333
246,sports bar shatranjanpoli rest ph 26498457 sports bar andheri w 26733333 dont know whether helps google ki jai ho,neutral,19,113,5.947368421052632
247,im sleeping accepts appology,negative,4,28,7.0
248,wolverine boss seriously william it,negative,5,35,7.0
249,live pain bring,neutral,3,15,5.0
250,okay im back later,neutral,4,18,4.5
251,powerblog powerblog challenge keep talking about im newbie follower,neutral,9,67,7.444444444444445
252,almost died laptop screen set 100 brightness reinstalled windows vista got headache insanedefaults,positive,13,98,7.538461538461538
253,waiting tish get off got drive moms crv pick duckie first time,neutral,12,62,5.166666666666667
254,trying decide movie friends going well lol p bible study 2nite means day cake buy own,negative,16,85,5.3125
255,going shower dont want smell school tomorrow,neutral,7,44,6.285714285714286
256,sigh know am,neutral,3,12,4.0
257,discovered cause bug new netplayer 4 build publishing bug fix now hopefully new beta tomorrow,positive,15,93,6.2
258,4 free twitter tools get followers    ,neutral,10,97,9.7
259,got home work chugging big bottle apple juice,neutral,8,45,5.625
260,yes does please dont go die cry normally leads small animals getting harmed,negative,13,75,5.769230769230769
261,writing report cards soooo tired amazing day check fb soon,positive,10,58,5.8
262,big brotherand im done,neutral,4,22,5.5
263,good news finally finished easactive workout paused 6 hours bad news resistance band torn,neutral,14,89,6.357142857142857
264,well good morning all wonderful day neighborhood thanks following another 60 morning,positive,12,84,7.0
265,ftsk mercy mercedes amazing tonight always,positive,6,42,7.0
266,hope ok,positive,2,7,3.5
267,cant school done already hurts much seeing every day,positive,9,52,5.777777777777778
268,waited listening wind blowing tumbleweed none old enough know someone says crackerack,neutral,12,85,7.083333333333333
269,hell yeah,neutral,2,9,4.5
270,shirt dinner need ask actually ville it,neutral,7,39,5.571428571428571
271,know,neutral,1,4,4.0
272,huh smelly noooo love alex vixon,neutral,6,32,5.333333333333333
273,went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara,positive,17,107,6.294117647058823
274,happy bday woke side earth wishes bit late,positive,8,42,5.25
275,thank teaching values better person day love much youre best mum world,positive,12,70,5.833333333333333
276,happy mothers day,positive,3,17,5.666666666666667
277,laughs im glad self confidence its wonderful trait ill applaud extra loud it okay,positive,14,81,5.785714285714286
278,thanks,positive,1,6,6.0
279,twittering 2 days,neutral,3,17,5.666666666666667
280,getting ready week nice today stuck inside working,positive,8,50,6.25
281,tres depressed,negative,2,14,7.0
282,felt like behaved like son ate compensate pigged homeroasted sugar almonds painful tum threw up still feel sick,negative,18,111,6.166666666666667
283,happy mothers day people love mom lot still,positive,8,43,5.375
284,im sorry hear that,negative,4,18,4.5
285,thats awesome dude yay surprise celebrities got meet years ago soooo friendly,positive,12,77,6.416666666666667
286,makes happy hear girl talk tweet nba but could give nuggets love,positive,12,64,5.333333333333333
287,getting hang twitter,neutral,3,20,6.666666666666667
288,know neck jacked forced pay parking bc cant turn head parallel park free spaces,negative,14,79,5.642857142857143
289,want back now ,neutral,4,28,7.0
290,going miss roomie longer roomies starting tomorrow,negative,7,50,7.142857142857143
291,bathing two little angels keyla janice,neutral,6,38,6.333333333333333
292,yep finished chocked full spelling grammatical errors im cleaning tomorrow popping hehe,negative,12,87,7.25
293,hahahha lol true that always remember bd never remember date even day,neutral,12,69,5.75
294,family herehanging,neutral,2,18,9.0
295,watching ellen love her dishes tanning its gorgeous out,positive,9,55,6.111111111111111
296,whats goin hun im worried,negative,5,25,5.0
297,im bannished work till 6,negative,5,24,4.8
298,morning get see it ill let know right now im going go see wolverine,neutral,14,67,4.785714285714286
299,red top tabloids build em up knock em,neutral,8,37,4.625
300,tonight party w girls minus vita,positive,6,32,5.333333333333333
301,made sad thought youd jumping joy,neutral,6,33,5.5
302,simple a,neutral,2,8,4.0
303,pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,neutral,13,80,6.153846153846154
304,saw play here amazing,positive,4,21,5.25
305,_ glad break twitter virginity two,positive,6,34,5.666666666666667
306,dinner fam missed,negative,3,17,5.666666666666667
307,_live thats want better bound bad eggs though soon learn,neutral,10,56,5.6
308,hell yeah kellynn got twitter finally,neutral,6,37,6.166666666666667
309,know worth shot though,positive,4,22,5.5
310,opened facebook account im little confused dont really get it twitter seems much better,positive,14,87,6.214285714285714
311,ship im stuck,negative,3,13,4.333333333333333
312,dustbin baby 1130 cannot wait x,positive,6,31,5.166666666666667
313,going dwell it happened its passed shame supportive life x,negative,10,58,5.8
314,looks like office tv get mlb network looks like mlbn televising detbal game today wieters,neutral,15,89,5.933333333333334
315,home empty handed comics found today shall indulge cupcakes magnolia bakery,neutral,11,75,6.818181818181818
316,laying bed til workkk oh life definitely pinched nerve,negative,9,54,6.0
317,today busy day exhausting,negative,4,25,6.25
318,going go sunday ive got much going weekend,neutral,8,42,5.25
319,sorry hear ur flight got cancelled blows,negative,7,40,5.714285714285714
320,ohh tooth hurts ohh im sad hurts,negative,7,32,4.571428571428571
321,get distracted id like thank new followers taking trouble follow me others feelin love,positive,14,86,6.142857142857143
322,u think u bills haii finished paying mine thats im broke,negative,11,56,5.090909090909091
323,sure didnt say 2 big jst saw pics u ur last bday looked pretty miss you,neutral,16,71,4.4375
324,sore throat planning tet outing marwell thoughgood times,neutral,8,56,7.0
325,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,positive,15,80,5.333333333333333
326,2 days without sleep migraine thought life postr01 meant relaxing,negative,10,65,6.5
327,there,neutral,1,5,5.0
328,sucks,negative,1,5,5.0
329,whens sway sway winner announced,neutral,5,32,6.4
330,k check out,neutral,3,11,3.6666666666666665
331,pretty well wide awake,positive,4,22,5.5
332,want wake early get coffee tomorrow today its going busyy day keep writing booo whoo,neutral,15,84,5.6
333,miss daddy mommy,negative,3,16,5.333333333333333
334,dog officially depressed brothers dogs gone doesnt want go outside did play halfheartedly,negative,13,89,6.846153846153846
335,realized cant forward text msgs iphone,neutral,6,38,6.333333333333333
336,frist post find new car parents exciting,positive,7,40,5.714285714285714
337,argh noo missed killers wossy sucks missed brandon total failure anyone know its repeated must investigate,negative,16,106,6.625
338,seriously bored without anyone talk to tired enough sleep,negative,9,57,6.333333333333333
339,lost please help find good home,negative,6,31,5.166666666666667
340,its peter gordon morning i go pieces wanna hide go pieces almost die ever ,neutral,15,89,5.933333333333334
341,ok ive got bit bad back lifting drum hardware car downer,negative,11,56,5.090909090909091
342,lmao smh one threw off,neutral,5,22,4.4
343,oh nice going,positive,3,13,4.333333333333333
344,getting ready work working weekend,neutral,5,34,6.8
345,gonna celebrate mothers day family gonna start partying tonite,positive,9,62,6.888888888888889
346,agree you,positive,2,9,4.5
347,computers hopeless everything else,negative,4,34,8.5
348,90 degrees gross skies thunderstormsperfect match mood lol,positive,8,58,7.25
349,_2nd aww thanks,positive,3,15,5.0
350,sorry rb ps3,negative,3,12,4.0
351,saw amazing heeels big,neutral,4,22,5.5
352,stuck finger throat bunch bumps tongue throat,negative,7,45,6.428571428571429
353,dang last url went ,negative,5,34,6.8
354,ohoh missed ur tweets im gonna stay awake night see announcement now time difference,negative,14,84,6.0
355,damnit all sucks one ones thought id drag back lol,negative,10,50,5.0
356,boss shes moving nyc,neutral,4,20,5.0
357,sooo crazy fever,negative,3,16,5.333333333333333
358,spending saturday morning taking notes research essay stupid recalled book im using fair,negative,13,88,6.769230769230769
359,think need new friends,neutral,4,22,5.5
360,looking forward gig ireland see ya there,neutral,7,40,5.714285714285714
361,please review sunehre ad placement ,positive,6,55,9.166666666666666
362,aww loooove,positive,2,11,5.5
363,hungry twitter want food 3,neutral,5,26,5.2
364,awesome lucky,positive,2,13,6.5
365,yea know tell everything ps send direct messages telling haha,neutral,10,61,6.1
366,haha im jewish love one,positive,5,23,4.6
367,great time beer garden wit boyos think sun got bit though feel bit ill,neutral,14,70,5.0
368,lm 3 days matt fun weekend,negative,6,26,4.333333333333333
369,u really dont think so maybe ur rightlol btw phone u using think u told b4i might app u,neutral,19,87,4.578947368421052
370,feel pain mine way,negative,4,18,4.5
371,comes home two days,neutral,4,19,4.75
372,sadly no didnt come one,negative,5,23,4.6
373,cant wait see boy tomorrow,positive,5,26,5.2
374,ehhh no check up dentist app next week though getting molar pulledroot canal,neutral,13,76,5.846153846153846
375,aww miss driving elmwood,negative,4,24,6.0
376,omg wango tango awsome love baby taking,positive,7,39,5.571428571428571
377,version 2 live interactive transsiberian ticket planner launched  cool,positive,10,90,9.0
378,_30439 really wish could go,positive,5,27,5.4
379,yeah real hard know youll get it smile,neutral,8,38,4.75
380,im 25 december thats good next big birthday 30 21 flys sure,negative,12,59,4.916666666666667
381,made night way funny,positive,4,20,5.0
382,woo cavs happy mothers day,positive,5,26,5.2
383,make face get home mom watching soaps,neutral,7,37,5.285714285714286
384,go work now,neutral,3,11,3.6666666666666665
385,cant believe went got boba without me,neutral,7,37,5.285714285714286
386,too today,neutral,2,9,4.5
387,thanks warm welcome didnt make plans arrival time air,positive,9,53,5.888888888888889
388,19 days counting,neutral,3,16,5.333333333333333
389,sorry friends im swamped deadlines right family visiting boot charades me,negative,11,73,6.636363636363637
390,brainfreeze,neutral,1,11,11.0
391,discovered shortcoming gravity use twitpic integrated doesnt subtract pic url 140 character limit,neutral,13,97,7.461538461538462
392,sunburn peeling,negative,2,15,7.5
393,perky purple nail polish isnt perky chipped,neutral,7,43,6.142857142857143
394, put camera smokers pit longer vandalize door without caught,neutral,10,79,7.9
395,laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle with,negative,16,85,5.3125
396,hate dentist,negative,2,12,6.0
397,nothing aimed you joining insorry,negative,5,33,6.6
398,im taking twitter break cell dying,negative,6,34,5.666666666666667
399,qood morninq,neutral,2,12,6.0
400,writing english original writing storyyyyy listening a little respect erasure aaaaaah,neutral,11,85,7.7272727272727275
401,needs followers,neutral,2,15,7.5
402,wish could get nails done stupid job,negative,7,36,5.142857142857143
403,little wormy labyrinth sadly passed away today ok hes still around happy ghost form aww ,neutral,16,107,6.6875
404,no pants idea could new attempt worldwide attract business back airlines,neutral,11,72,6.545454545454546
405,good one,positive,2,8,4.0
406,yep infact popular miss india 99 talented film actress lot,positive,10,58,5.8
407,dosent want go work tomorrow,negative,5,28,5.6
408,daniel dsds voice great,positive,4,23,5.75
409,o wish birthday massacre would come australia think said theyre thinking tho ,neutral,13,97,7.461538461538462
410,hoping go red lobster weekend,neutral,5,29,5.8
411,_x_atl u mean jack barakats wow u ever gone house hehe mean ur ssoo lucky address,positive,16,81,5.0625
412,sure hope becomes 420 afternoon,positive,5,31,6.2
413,means famous congrats,positive,3,21,7.0
414,phone passed away yesterday jumped table searching new phone,negative,9,60,6.666666666666667
415,fantastic friends including several ones met here thanks life amazing people,positive,11,76,6.909090909090909
416,tamlyn wishes cool sock draw,positive,5,28,5.6
417,rice crusty bread chili aawww,neutral,5,29,5.8
418,like minds evening dear,neutral,4,23,5.75
419,come save packing please,neutral,4,24,6.0
420,yes love tea makes typically english,positive,6,36,6.0
421,mouth sure,positive,2,10,5.0
422,_dec0de finally 1 hour history 300 pm went highschool 800 make homework friend,neutral,13,78,6.0
423,pancakes lemon sugar thanks,positive,4,27,6.75
424,si bueno guess dont entertain,negative,5,29,5.8
425,im hunrgy right heels kill hardly walk,negative,7,38,5.428571428571429
426,electronic keys stopped working keyhole cant get car much technology,negative,10,68,6.8
427,yay three followers good know one person big wide world likes fishies,positive,12,69,5.75
428,my name tony not hey poor tony,negative,7,30,4.285714285714286
429,goodmorning,positive,1,11,11.0
430,took shift tomorrow dont really feel like working right now,negative,10,59,5.9
431,love mine happy motherãââ½s day mom john taylor much love you,positive,11,61,5.545454545454546
432,saw black snake garden went back picture gone,neutral,8,45,5.625
433, bought ludi rug dogs best,positive,6,45,7.5
434,waterfront anymore faccia luna clarendon,negative,5,40,8.0
435,loves mum much happy mothers day wonderful mothers,positive,8,50,6.25
436,slipped caught flu feeling like poop,negative,6,36,6.0
437,urge play wow wait 2 weeks til im dads 547days til mcfly im excited l,positive,15,69,4.6
438,ok passengers one alive theyre dead dont know til end cry,negative,11,57,5.181818181818182
439,discovered sharing g reader didnt even know it sigh im g reader newb,neutral,13,68,5.230769230769231
440,chilled tonite cannot spew venom write funny seems like 2 styles,neutral,11,64,5.818181818181818
441,u do please pray 4 me lord knows need it,neutral,10,40,4.0
442,aaaaaw want live usa,neutral,4,20,5.0
443,morning tweeple,positive,2,15,7.5
444,hey didnt get,neutral,3,13,4.333333333333333
